OBU_ID,COLLECTION_DT,STARTVECTOR_LATITUDE,STARTVECTOR_LONGITUDE,TRANSMISSTION,SPEED,HAZARD_LIGHTS,LEFT_TURN_SIGNAL_ON,RIGHT_TURN_SIGNAL_ON,STEERING,RPM,FOOTBRAKE,GEAR,ACCELATOR,WIPERS,TIRE_WARN_LEFT_F,TIRE_WARN_LEFT_R,TIRE_WARN_RIGHT_F,TIRE_WARN_RIGHT_R,TIRE_PSI_LEFT_F,TIRE_PSI_LEFT_R,TIRE_PSI_RIGHT_F,TIRE_PSI_RIGHT_R,FUEL_PERCENT,FUEL_LITER,TOTALDIST,RSU_ID,MSG_ID,STARTVECTOR_HEADING
OBU-461001c4,20211001001000198,33.496063,126.491677,-,589,OFF,OFF,OFF,0,0,-,0,0,작동,-,-,-,-,0,0,0,0,0,0,0,,PVD-461001c4-20210930150956947,2463
OBU-46101802,20211001001000198,33.494437,126.465828,-,0,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-46101802-20210930150958175,28800
OBU-4610114a,20211001001000260,33.480759,126.521763,-,85,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-4610114a-20210930150959559,7367
OBU-46101787,20211001001000276,33.45254,126.551438,D,47,OFF,OFF,OFF,0,2030,-,4,68,-,-,-,-,-,0,0,0,0,0,31,86634,,PVD-46101787-20210930150957458,12625
OBU-46101787,20211001001000276,33.45254,126.551438,D,47,OFF,OFF,OFF,0,2030,-,4,68,-,-,-,-,-,0,0,0,0,0,31,86634,RSU-461f437e,PVD-461f437e-20210930150957458,12625
OBU-461006aa,20211001001000385,33.401473,126.895499,D,97,OFF,OFF,OFF,0,2181,-,6,93,작동,-,-,-,-,35,37,36,38,21,12,151594,,PVD-461006aa-20210930150958217,15518
OBU-461006aa,20211001001000401,33.401473,126.895499,D,97,OFF,OFF,OFF,0,2181,-,6,93,작동,-,-,-,-,35,37,36,38,21,12,151594,RSU-461f4334,PVD-461f4334-20210930150958217,15518
OBU-46101284,20211001001000573,33.407185,126.388407,D,72,OFF,OFF,OFF,0,2304,-,-,24,-,-,-,-,-,0,0,0,0,0,0,175836,,PVD-46101284-20210930150959133,4508
OBU-46101284,20211001001000604,33.407185,126.388407,D,72,OFF,OFF,OFF,0,2304,-,-,24,-,-,-,-,-,0,0,0,0,0,0,175836,RSU-461f4387,PVD-461f4387-20210930150959133,4508
OBU-4610076b,20211001001000886,33.29091,126.459247,-,43,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-4610076b-20210930151000355,22595
