OBU_ID,COLLECTION_DT,STARTVECTOR_LATITUDE,STARTVECTOR_LONGITUDE,TRANSMISSTION,SPEED,HAZARD_LIGHTS,LEFT_TURN_SIGNAL_ON,RIGHT_TURN_SIGNAL_ON,STEERING,RPM,FOOTBRAKE,GEAR,ACCELATOR,WIPERS,TIRE_WARN_LEFT_F,TIRE_WARN_LEFT_R,TIRE_WARN_RIGHT_F,TIRE_WARN_RIGHT_R,TIRE_PSI_LEFT_F,TIRE_PSI_LEFT_R,TIRE_PSI_RIGHT_F,TIRE_PSI_RIGHT_R,FUEL_PERCENT,FUEL_LITER,TOTALDIST,RSU_ID,MSG_ID,STARTVECTOR_HEADING,ADDRESS
OBU-461001c4,20241001001000198,33.496063,126.491677,-,0,OFF,OFF,OFF,0,0,-,0,0,작동,-,-,-,-,0,0,0,0,0,0,0,,PVD-461001c4-20240930150956947,2463,서울특별시 동작구 상도제2동
OBU-46101802,20241001001000198,33.494437,126.465828,-,0,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-46101802-20240930150958175,28800,경기도 가평군 상면
OBU-4610114a,20241001001000260,33.480759,126.521763,-,85,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-4610114a-20240930150959559,7367,울산광역시 울주군 온산읍
OBU-46101787,20241001001000276,33.45254,126.551438,D,47,OFF,OFF,OFF,0,2030,-,4,68,-,-,-,-,-,0,0,0,0,0,31,86634,,PVD-46101787-20240930150957458,12625,서울특별시 송파구 잠실7동
OBU-46101787,20241001001000276,33.45254,126.551438,D,47,OFF,OFF,OFF,0,2030,-,4,68,-,-,-,-,-,0,0,0,0,0,31,86634,RSU-461f437e,PVD-461f437e-20240930150957458,12625,부산광역시 금정구 금사회동동
OBU-461006aa,20241001001000385,33.401473,126.895499,D,97,OFF,OFF,OFF,0,2181,-,6,93,작동,-,-,-,-,35,37,36,38,21,12,151594,,PVD-461006aa-20240930150958217,15518,경기도 동두천시 송내동
OBU-461006aa,20241001001000401,33.401473,126.895499,D,97,OFF,OFF,OFF,0,2181,-,6,93,작동,-,-,-,-,35,37,36,38,21,12,151594,RSU-461f4334,PVD-461f4334-20240930150958217,15518,서울특별시 은평구 신사제2동
OBU-46101284,20241001001000573,33.407185,126.388407,D,72,OFF,OFF,OFF,0,2304,-,-,24,-,-,-,-,-,0,0,0,0,0,0,175836,,PVD-46101284-20240930150959133,4508,경기도 안성시 보개면
OBU-46101284,20241001001000604,33.407185,126.388407,D,72,OFF,OFF,OFF,0,2304,-,-,24,-,-,-,-,-,0,0,0,0,0,0,175836,RSU-461f4387,PVD-461f4387-20240930150959133,4508,인천광역시 동구 금창동
OBU-4610076b,20241001001000886,33.29091,126.459247,-,43,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-4610076b-20240930151000355,22595,인천광역시 부평구 부개2동
OBU-46101141,20241001001000948,33.516793,126.50395,-,8,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-46101141-20240930150959463,10391,서울특별시 강서구 화곡제2동
OBU-46100401,20241001001000964,33.326039,126.832726,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-46100401-20240930151000084,10329,부산광역시 기장군 정관읍
OBU-461002d8,20241001001026519,33.245527,126.563207,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151025100,28800,광주광역시 남구 봉선1동
OBU-461002d8,20241001001027628,33.245526,126.56321,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151026201,28800,대구광역시 달서구 본리동
OBU-461002d8,20241001001028691,33.245526,126.56321,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151027291,28800,서울특별시 성북구 월곡제2동
OBU-461002d8,20241001001029832,33.245518,126.563212,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151028381,28800,서울특별시 서초구 양재2동
OBU-46101284,20241001001030113,33.41045,126.393072,D,72,OFF,OFF,OFF,0,1796,-,-,1,-,-,-,-,-,0,0,0,0,0,0,175836,,PVD-46101284-20240930151028662,3931,광주광역시 북구 용봉동
OBU-46101284,20241001001030191,33.41045,126.393072,D,72,OFF,OFF,OFF,0,1796,-,-,1,-,-,-,-,-,0,0,0,0,0,0,175836,RSU-461f4387,PVD-461f4387-20240930151028662,3931,부산광역시 수영구 광안4동
OBU-4610076b,20241001001030379,33.291822,126.454369,-,45,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-4610076b-20240930151029846,22516,대구광역시 남구 대명5동
OBU-46101141,20241001001030426,33.516745,126.504037,-,0,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-46101141-20240930151028954,9664,경기도 화성시 봉담읍
OBU-46100401,20241001001030473,33.325722,126.835845,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-46100401-20240930151029578,7281,부산광역시 수영구 남천1동
OBU-461001c4,20241001001030645,33.496062,126.49168,-,0,OFF,OFF,OFF,0,0,-,0,0,작동,-,-,-,-,0,0,0,0,0,0,0,,PVD-461001c4-20240930151027449,2463,서울특별시 송파구 삼전동
OBU-46101802,20241001001030691,33.494438,126.465824,-,0,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-46101802-20240930151028703,28800,경기도 포천시 포천동
OBU-46101787,20241001001030801,33.450191,126.55196,D,36,OFF,OFF,OFF,-2,1877,-,3,67,-,-,-,-,-,0,0,0,0,0,30,86635,,PVD-46101787-20240930151027991,20892,부산광역시 강서구 대저1동
OBU-4610114a,20241001001030879,33.480794,126.52843,-,54,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-4610114a-20240930151030180,6143,광주광역시 북구 각화동
OBU-461002d8,20241001001030895,33.245511,126.563214,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151029476,28800,서울특별시 서대문구 홍은2동
OBU-4610114a,20241001001030895,33.480794,126.52843,-,54,OFF,OFF,OFF,84,-1,-,0,-1,-,-,-,-,-,0,0,0,0,0,0,-1,RSU-461f4377,PVD-461f4377-20240930151030180,6143,대구광역시 중구 성내2동
OBU-461006aa,20241001001030988,33.394863,126.891566,D,102,OFF,OFF,OFF,0,2238,-,6,0,작동,-,-,-,-,35,37,36,38,21,12,151595,,PVD-461006aa-20240930151028833,17053,광주광역시 광산구 우산동
OBU-461002d8,20241001001032020,33.245493,126.563217,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151030570,13833,서울특별시 광진구 중곡제4동
OBU-461002d8,20241001001033160,33.245464,126.563222,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151031660,13907,광주광역시 남구 월산동
OBU-461002d8,20241001001034129,33.245422,126.563229,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151032785,13961,광주광역시 광산구 신가동
OBU-461002d8,20241001001035145,33.245382,126.563234,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151033802,13970,서울특별시 동대문구 이문제1동
OBU-461002d8,20241001001036161,33.245345,126.563242,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151034818,13804,대구광역시 북구 대현동
OBU-461002d8,20241001001037177,33.245308,126.563249,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151035836,13783,광주광역시 광산구 본량동
OBU-461002d8,20241001001038192,33.245268,126.563253,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151036854,13839,서울특별시 양천구 신월6동
OBU-461002d8,20241001001039208,33.245236,126.563257,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151037873,13841,광주광역시 북구 본촌동
OBU-461002d8,20241001001040224,33.245215,126.563259,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151038889,13836,광주광역시 광산구 도산동
OBU-461002d8,20241001001041240,33.245199,126.56326,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151039906,13780,서울특별시 강서구 등촌제2동
OBU-461002d8,20241001001042271,33.245166,126.563265,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151040920,13838,제주특별자치도 제주시 도두동
OBU-461002d8,20241001001043287,33.24512,126.563269,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151041938,13963,광주광역시 동구 지산2동
OBU-461002d8,20241001001044303,33.245062,126.563279,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151042959,13831,광주광역시 서구 화정4동
OBU-461002d8,20241001001045318,33.244993,126.563289,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151043978,13811,광주광역시 북구 두암3동
OBU-461002d8,20241001001046334,33.244914,126.563302,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151044994,13818,인천광역시 미추홀구 주안5동
OBU-461002d8,20241001001047365,33.244851,126.563313,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151046012,13838,대전광역시 대덕구 회덕동
OBU-461002d8,20241001001048366,33.244796,126.563324,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151047029,13795,경기도 양주시 광적면
OBU-461002d8,20241001001049397,33.244757,126.563331,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151048045,13799,부산광역시 남구 대연2동
OBU-461002d8,20241001001050413,33.244717,126.563336,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151049060,14050,대구광역시 달서구 상인1동
OBU-461002d8,20241001001051413,33.244685,126.563336,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151050077,14363,서울특별시 강남구 세곡동
OBU-461002d8,20241001001052444,33.244661,126.563334,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151051094,14571,대전광역시 유성구 노은3동
OBU-461002d8,20241001001053460,33.244652,126.563332,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151052115,14687,대구광역시 달성군 구지면
OBU-461002d8,20241001001203699,33.247572,126.55582,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151202343,23308,서울특별시 금천구 시흥제2동
OBU-461002d8,20241001001204715,33.247615,126.555683,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151203361,23258,경기도 하남시 덕풍동
OBU-461002d8,20241001001205731,33.247662,126.555515,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151204378,23124,서울특별시 광진구 자양제3동
OBU-461002d8,20241001001206731,33.24771,126.555325,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151205394,22917,인천광역시 남동구 장수서창동
OBU-461002d8,20241001001207762,33.247751,126.555124,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151206410,22733,광주광역시 서구 양동
OBU-461002d8,20241001001208762,33.247787,126.554935,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151207426,22616,광주광역시 북구 중흥1동
OBU-461002d8,20241001001209794,33.24782,126.55476,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151208441,22583,광주광역시 서구 화정3동
OBU-461002d8,20241001001210809,33.247854,126.554571,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151209455,22564,부산광역시 부산진구 개금1동
OBU-461002d8,20241001001211825,33.247876,126.554399,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151210473,22343,대전광역시 동구 판암1동
OBU-461002d8,20241001001212841,33.247891,126.554203,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151211487,22040,대구광역시 서구 비산5동
OBU-461002d8,20241001001213857,33.247892,126.554035,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151212506,21707,서울특별시 강동구 천호2동
OBU-461002d8,20241001001214872,33.247891,126.553868,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151213528,21611,서울특별시 중랑구 상봉제1동
OBU-461002d8,20241001001215888,33.247892,126.55372,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151214545,21614,부산광역시 영도구 봉래1동
OBU-461002d8,20241001001216904,33.247893,126.553573,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151215561,21642,서울특별시 노원구 상계10동
OBU-461002d8,20241001001217935,33.247893,126.553435,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151216580,21599,경기도 김포시 김포본동
OBU-461002d8,20241001001218951,33.247893,126.553319,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151217605,21575,대구광역시 수성구 황금2동
OBU-461002d8,20241001001219967,33.247892,126.553238,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151218624,21529,부산광역시 동구 수정5동
OBU-461002d8,20241001001220983,33.247897,126.553171,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151219640,22136,서울특별시 강동구 성내2동
OBU-461002d8,20241001001221998,33.247908,126.55311,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151220656,22619,서울특별시 영등포구 신길제3동
OBU-461002d8,20241001001223030,33.247938,126.553063,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151221674,24508,대구광역시 중구 동인동
OBU-461002d8,20241001001224030,33.247984,126.553018,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151222690,25959,인천광역시 부평구 산곡2동
OBU-461002d8,20241001001225061,33.248044,126.552994,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151223708,27503,부산광역시 서구 서대신1동
OBU-461002d8,20241001001226077,33.248117,126.552985,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151224728,28439,서울특별시 서초구 반포3동
OBU-461002d8,20241001001227093,33.248197,126.552981,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151225743,28594,제주특별자치도 제주시 용담2동
OBU-461002d8,20241001001228124,33.248289,126.552975,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151226762,28545,서울특별시 금천구 시흥제2동
OBU-461002d8,20241001001229125,33.248406,126.552969,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,,PVD-461002d8-20240930151227778,28590,서울특별시 중랑구 중화제1동
OBU-461002d8,20241001001229141,33.248406,126.552969,-,589,OFF,OFF,OFF,84,-1,-,-,-1,-,-,-,-,-,0,0,0,0,0,0,-1,RSU-461f431a,PVD-461f431a-20240930151227778,28590,서울특별시 용산구 원효로제1동
OBU-46101787,20241001001230063,33.445669,126.548372,D,0,OFF,OFF,OFF,-9,788,작동,0,0,-,-,-,-,-,0,0,0,0,0,20,86636,,PVD-46101787-20240930151227244,1875,서울특별시 종로구 사직동
